symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
AUDUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 00:45:00,7505.497900614798,AUDUSD,3306585.44324115,0.725155,0.72349,7592.121357498231,86.62345688343382,11,coc_tp,,0.72370469,pre_ret=+0.166% rank=6/6 (strongest) vol=0.00029 wt=0.15 notional_x=3.3x,round_2,2026-05-11 22:00:00,SHORT,3.31,0.2296,0.7505,165,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,-1,coc,2026-05-11 22:00:00,2026-05-12 01:15:00,9460.55269103684,EURUSD,4503692.635745191,1.1787050000000001,1.1762050000000002,9552.204825942723,91.65213490588238,13,coc_tp,,1.1763475900000002,pre_ret=+0.162% rank=5/6 (strongest) vol=0.00021 wt=0.20 notional_x=4.5x,round_2,2026-05-11 22:00:00,SHORT,4.5,0.2121,0.9461,195,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDJPY,1,coc,2026-05-11 22:00:00,2026-05-12 01:15:00,14101.317708756511,USDJPY,6069591.653097145,157.1805,157.5485,14210.476034493407,109.15832573689643,13,coc_tp,,157.494861,pre_ret=+0.043% rank=2/6 (weakest) vol=0.00016 wt=0.28 notional_x=6.1x,round_2,2026-05-11 22:00:00,LONG,6.07,0.2341,1.4101,195,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCHF,1,coc,2026-05-11 22:00:00,2026-05-12 01:15:00,8908.906900143049,USDCHF,4236930.341779319,0.7778,0.779455,9015.324910831147,106.41801068809725,13,coc_tp,,0.7793556,pre_ret=-0.098% rank=1/6 (weakest) vol=0.00022 wt=0.19 notional_x=4.2x,round_2,2026-05-11 22:00:00,LONG,4.24,0.2128,0.8909,195,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,1,css,2026-05-12 01:15:00,2026-05-12 05:15:00,-638.2562205530312,EURUSD/USDCHF,524999.9999999999,1.1762050000000002,1.175505,-602.0709779983422,36.185242554689005,16,max_hold,,0.0,CSS z=-2.97 on EURUSD/USDCHF,round_2,2026-05-11 22:00:00,LONG,0.52,-0.0595,-0.0638,240,Max hold reached — time stop triggered
AUDUSD,-1,coc,2026-05-12 01:00:00,2026-05-12 06:15:00,7453.722866775136,AUDUSD,3306585.44324115,0.7235450000000001,0.7218950000000001,7540.465321919326,86.74245514418995,21,coc_tp,,0.7220979100000001,pre_ret=+0.166% rank=6/6 (strongest) vol=0.00029 wt=0.15 notional_x=3.3x [re-entry after TP],round_2,2026-05-11 22:00:00,SHORT,3.31,0.228,0.7454,315,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCAD,1,coc,2026-05-11 22:00:00,2026-05-12 07:45:00,8701.896087935467,USDCAD,3883199.926137194,1.3672950000000001,1.3703850000000002,8775.785599862887,73.88951192741956,39,coc_tp,,1.3700295900000001,pre_ret=+0.055% rank=3/6 (weakest) vol=0.00024 wt=0.18 notional_x=3.9x,round_2,2026-05-11 22:00:00,LONG,3.88,0.226,0.8702,585,"COC take-profit hit (+0.30% price move) — banked, re-entering"
AUDUSD,1,css,2026-05-12 07:45:00,2026-05-12 11:45:00,820.4466363737413,AUDUSD/USDCAD,524999.9999999999,0.7217250000000001,0.722875,844.1995426941099,23.7529063203686,16,max_hold,,0.0,CSS z=-2.01 on AUDUSD/USDCAD,round_2,2026-05-11 22:00:00,LONG,0.52,0.1593,0.082,240,Max hold reached — time stop triggered
USDCHF,1,coc,2026-05-12 05:15:00,2026-05-12 13:30:00,9015.487853152865,USDCHF,4236930.341779319,0.779885,0.7815750000000001,9181.369403959665,165.88155080680053,33,coc_tp,,0.78144477,pre_ret=-0.098% rank=1/6 (weakest) vol=0.00022 wt=0.19 notional_x=4.2x [re-entry after TP],round_2,2026-05-11 22:00:00,LONG,4.24,0.2167,0.9015,495,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,-1,coc,2026-05-12 05:15:00,2026-05-12 13:45:00,9486.43252937803,EURUSD,4503692.635745191,1.175505,1.173005,9578.2081653098,91.77563593176923,34,coc_tp,,1.17315399,pre_ret=+0.162% rank=5/6 (strongest) vol=0.00021 wt=0.20 notional_x=4.5x [re-entry after TP],round_2,2026-05-11 22:00:00,SHORT,4.5,0.2127,0.9486,510,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,1,css,2026-05-12 13:45:00,2026-05-12 17:45:00,450.5764872559824,EURUSD/USDCHF,524999.9999999999,1.173005,1.17333,474.43865651692613,23.86216926094373,16,max_hold,,0.0,CSS z=-2.72 on EURUSD/USDCHF,round_2,2026-05-11 22:00:00,LONG,0.52,0.0277,0.0451,240,Max hold reached — time stop triggered
USDJPY,1,coc,2026-05-12 01:30:00,2026-05-12 22:00:00,1662.8177217520984,USDJPY,6069591.653097145,157.5675,157.6135,1771.9467278625111,109.12900611041285,82,eod,,157.882635,pre_ret=+0.043% rank=2/6 (weakest) vol=0.00016 wt=0.28 notional_x=6.1x [re-entry after TP],round_2,2026-05-11 22:00:00,LONG,6.07,0.0292,0.1663,1230,Held to round-end (EOD)
USDCAD,1,coc,2026-05-12 11:45:00,2026-05-12 22:00:00,-2117.017073371034,USDCAD,3883199.926137194,1.370365,1.369655,-2011.9252517084935,105.09182166254031,41,eod,,1.37310573,pre_ret=+0.055% rank=3/6 (weakest) vol=0.00024 wt=0.18 notional_x=3.9x [re-entry after TP],round_2,2026-05-11 22:00:00,LONG,3.88,-0.0518,-0.2117,615,Held to round-end (EOD)
EURUSD,-1,css,2026-05-12 19:00:00,2026-05-12 22:00:00,315.8047558169975,EURUSD/USDCHF,524999.9999999999,1.174425,1.173775,354.4711167962455,38.666360979248026,12,eod,,0.0,CSS z=+1.65 on EURUSD/USDCHF,round_2,2026-05-11 22:00:00,SHORT,0.52,0.0553,0.0316,180,Held to round-end (EOD)
SOLUSD,1,mtf,2026-05-13 01:30:00,2026-05-13 07:15:00,-11807.846347082837,SOLUSD,3000000.0,95.23999786376953,94.94999694824219,-9134.846347082837,2673.0,23,ema_reversal,94.4484526858572,0.0,MTF SOLUSD EMA-sig=+0.0033 L,round_3,2026-05-12 22:00:00,LONG,3.0,-0.3045,-1.1808,345,MTF EMA crossed back — trend reversed
XRPUSD,1,mtf,2026-05-13 01:30:00,2026-05-13 07:30:00,20082.559545090786,XRPUSD,3000000.0,1.4501999616622925,1.4611999988555908,22755.559545090786,2673.0,24,max_hold,1.4381149619817735,0.0,MTF XRPUSD EMA-sig=+0.0036 L,round_3,2026-05-12 22:00:00,LONG,3.0,0.7585,2.0083,360,Max hold reached — time stop triggered
ETHUSD,1,mtf,2026-05-13 09:00:00,2026-05-13 11:15:00,-24498.605610980772,ETHUSD,3000000.0,2318.800048828125,2300.39990234375,-23805.605610980772,693.0000000000002,9,ema_reversal,2299.4201225853362,0.0,MTF ETHUSD EMA-sig=+0.0036 L,round_3,2026-05-12 22:00:00,LONG,3.0,-0.7935,-2.4499,135,MTF EMA crossed back — trend reversed
SOLUSD,-1,mtf,2026-05-13 11:00:00,2026-05-13 17:00:00,104481.05951315981,SOLUSD,3000000.0,94.3499984741211,90.9800033569336,107154.05951315981,2673.0,24,max_hold,95.11888234162831,0.0,MTF SOLUSD EMA-sig=-0.0044 S,round_3,2026-05-12 22:00:00,SHORT,3.0,3.5718,10.4481,360,Max hold reached — time stop triggered
